Allele	Caucasian	Black	Asian
hla_a_66_04	0.000	0.000	0.000
hla_a_68_01	0.034	0.032	0.003
hla_a_68_02	0.007	0.064	0.000
hla_a_68_03	0.000	0.000	0.000
hla_a_68_04	0.000	0.000	0.000
hla_a_68_05	0.000	0.000	0.000
hla_a_68_06	0.000	0.000	0.000
hla_a_68_07	0.000	0.000	0.000
hla_a_68_08	0.000	0.000	0.000
hla_a_68_09	0.000	0.000	0.000
hla_a_68_10	0.000	0.000	0.000
hla_a_68_11n	0.000	0.000	0.000
hla_a_68_12	0.000	0.000	0.000
hla_a_68_13	0.000	0.000	0.000
hla_a_68_14	0.000	0.000	0.000
hla_a_68_15	0.000	0.000	0.000
hla_a_68_16	0.000	0.000	0.000
hla_a_68_17	0.000	0.000	0.000
hla_a_68_18n	0.000	0.000	0.000
hla_a_68_19	0.000	0.000	0.000
hla_a_68_20	0.000	0.000	0.000
hla_a_68_21	0.000	0.000	0.000
hla_a_68_22	0.000	0.000	0.000
hla_a_68_23	0.000	0.000	0.000
hla_a_68_24	0.000	0.000	0.000
hla_a_68_25	0.000	0.000	0.000
hla_a_68_26	0.000	0.000	0.000
hla_a_68_27	0.000	0.000	0.000
hla_a_68_28	0.000	0.000	0.000
hla_a_69_01	0.001	0.001	0.000
hla_a_74_01	0.000	0.051	0.001
hla_a_74_02	0.000	0.000	0.000
hla_a_74_03	0.000	0.002	0.000
hla_a_74_04	0.000	0.000	0.000
hla_a_74_05	0.000	0.000	0.000
hla_a_74_06	0.000	0.000	0.000
hla_a_74_07	0.000	0.000	0.000
hla_a_74_08	0.000	0.000	0.000
hla_a_74_09	0.000	0.000	0.000
hla_a_74_10	0.000	0.000	0.000
hla_a_80_01	0.000	0.007	0.000
hla_b_07_02	0.118	0.062	0.015
hla_b_07_03	0.000	0.000	0.000
hla_b_07_04	0.002	0.000	0.000
hla_b_07_05	0.002	0.007	0.006
hla_b_07_06	0.000	0.000	0.000
hla_b_07_07	0.000	0.000	0.000
hla_b_07_08	0.000	0.000	0.000
hla_b_07_09	0.000	0.000	0.000
hla_b_07_10	0.000	0.000	0.000
hla_b_07_11	0.000	0.000	0.000
hla_b_07_12	0.000	0.000	0.000
hla_b_07_13	0.000	0.000	0.000
hla_b_07_14	0.000	0.000	0.000
hla_b_07_15	0.000	0.000	0.000
hla_b_07_16	0.000	0.000	0.000
hla_b_07_17	0.000	0.000	0.000
hla_b_07_18	0.000	0.000	0.000
hla_b_07_19	0.000	0.000	0.000
hla_b_07_20	0.000	0.000	0.000
hla_b_07_21	0.000	0.000	0.000
hla_b_07_22	0.000	0.000	0.000
hla_b_07_23	0.000	0.000	0.000
hla_b_07_24	0.000	0.000	0.000
hla_b_07_25	0.000	0.000	0.000
hla_b_07_26	0.000	0.000	0.000
hla_b_07_27	0.000	0.000	0.000
hla_b_07_28	0.000	0.000	0.000
hla_b_07_29	0.000	0.000	0.000
hla_b_07_30	0.000	0.000	0.000
hla_b_07_31	0.000	0.000	0.000
hla_b_07_32	0.000	0.000	0.000
hla_b_07_33	0.000	0.000	0.000
hla_b_07_34	0.000	0.000	0.000
hla_b_07_35	0.000	0.000	0.000
hla_b_07_36	0.000	0.000	0.000
hla_b_07_37	0.000	0.000	0.000
hla_b_07_38	0.000	0.000	0.000
hla_b_07_39	0.000	0.000	0.000
hla_b_07_40	0.000	0.000	0.000
hla_b_08_01	0.098	0.039	0.002
hla_b_08_02	0.000	0.000	0.000
hla_b_08_03	0.000	0.000	0.000
hla_b_08_04	0.000	0.000	0.000
hla_b_08_05	0.000	0.000	0.000
hla_b_08_07	0.000	0.000	0.000
hla_b_08_08n	0.000	0.000	0.000
hla_b_08_09	0.000	0.000	0.000
hla_b_08_10	0.000	0.000	0.000
hla_b_08_11	0.000	0.000	0.000
hla_b_08_12	0.000	0.000	0.000
hla_b_08_13	0.000	0.000	0.000
hla_b_08_14	0.000	0.000	0.000
hla_b_08_15	0.000	0.000	0.000
hla_b_08_16	0.000	0.000	0.000
hla_b_08_17	0.000	0.000	0.000
hla_b_08_18	0.000	0.000	0.000
hla_b_08_19n	0.000	0.000	0.000
hla_b_08_20	0.000	0.000	0.000
hla_b_08_21	0.000	0.000	0.000
hla_b_08_22	0.000	0.000	0.000
hla_b_08_23	0.000	0.000	0.000
hla_b_08_24	0.000	0.000	0.000
hla_b_13_01	0.000	0.000	0.045
hla_b_13_02	0.042	0.012	0.012
hla_b_13_03	0.000	0.000	0.000
hla_b_13_04	0.000	0.000	0.000
hla_b_13_06	0.000	0.000	0.000
hla_b_13_07n	0.000	0.000	0.001
hla_b_13_08q	0.000	0.000	0.000
hla_b_13_09	0.000	0.000	0.000
hla_b_13_10	0.000	0.000	0.000
hla_b_13_11	0.000	0.000	0.000
hla_b_13_12	0.000	0.000	0.000
hla_b_13_13	0.000	0.000	0.000
hla_b_14_01	0.005	0.008	0.001
hla_b_14_02	0.019	0.023	0.000
hla_b_14_03	0.000	0.003	0.000
hla_b_14_04	0.000	0.000	0.000
hla_b_14_05	0.000	0.000	0.000
hla_b_14_06	0.000	0.000	0.000
hla_b_15_01	0.058	0.008	0.121
hla_b_15_02	0.000	0.000	0.066
hla_b_15_03	0.001	0.065	0.001
hla_b_15_04	0.000	0.000	0.000
hla_b_15_05	0.000	0.000	0.002
hla_b_15_06	0.000	0.000	0.001
hla_b_15_07	0.000	0.000	0.005
hla_b_15_08	0.000	0.000	0.002
hla_b_15_09	0.000	0.001	0.000
hla_b_15_10	0.000	0.029	0.000
hla_b_15_11	0.000	0.000	0.013
hla_b_15_12	0.000	0.000	0.001
hla_b_15_13	0.000	0.000	0.001
hla_b_15_14	0.000	0.000	0.000
hla_b_15_15	0.000	0.000	0.000
hla_b_15_16	0.000	0.013	0.000
hla_b_15_17	0.003	0.005	0.001
hla_b_15_18	0.002	0.002	0.020
hla_b_15_19	0.000	0.000	0.000
hla_b_15_20	0.000	0.000	0.001
hla_b_15_21	0.000	0.000	0.001
hla_b_15_23	0.000	0.000	0.000
hla_b_15_24	0.000	0.000	0.000
hla_b_15_25	0.000	0.000	0.014
hla_b_15_26n	0.000	0.000	0.000
hla_b_15_27	0.000	0.000	0.004
hla_b_15_28	0.000	0.000	0.000
hla_b_15_29	0.000	0.000	0.000
hla_b_15_30	0.000	0.000	0.001
hla_b_15_31	0.000	0.001	0.000
hla_b_15_32	0.000	0.000	0.006
hla_b_15_33	0.000	0.000	0.000
hla_b_15_34	0.000	0.000	0.000
hla_b_15_35	0.000	0.000	0.000
hla_b_15_36	0.000	0.000	0.000
hla_b_15_37	0.000	0.001	0.000
hla_b_15_38	0.000	0.000	0.000
hla_b_15_39	0.000	0.000	0.000
hla_b_15_40	0.000	0.000	0.000
hla_b_15_42	0.000	0.000	0.000
hla_b_15_43	0.000	0.000	0.000
hla_b_15_44	0.000	0.000	0.000
hla_b_15_45	0.000	0.000	0.000
hla_b_15_46	0.000	0.000	0.001
